,lab
1046,GIA
1047,GIA
1048,IGI
1049,GIA
1050,GIA
1051,GIA
1052,GIA
1053,GIA
1054,IGI
1055,IGI
1056,IGI
1057,GIA
1058,GIA
1059,IGI
1060,GIA
1061,GIA
1062,GIA
1063,GIA
1064,GIA
1065,GIA
1066,GIA
1067,GIA
1068,GIA
1069,GIA
1070,GIA
1071,GIA
1072,GIA
1073,GIA
1074,GIA
1075,GIA
1076,GIA
1077,GIA
1078,GIA
1079,GIA
1080,GIA
1081,IGI
1082,GIA
1083,GIA
1084,GIA
1085,GIA
1086,GIA
1087,GIA
1088,GIA
1089,GIA
1090,IGI
1091,IGI
1092,GIA
1093,GIA
1094,GIA
1095,IGI
1096,GIA
1097,IGI
1098,GIA
1099,GIA
1100,GIA
1101,GIA
1102,GIA
1103,GIA
1104,GIA
1105,GIA
1106,GIA
1107,IGI
1108,IGI
1109,GIA
1110,GIA
1111,IGI
1112,GIA
1113,GIA
1114,GIA
1115,GIA
1116,GIA
1117,GIA
1118,GIA
1119,GIA
1120,GIA
1121,GIA
1122,GIA
1123,GIA
1124,GIA
1125,GIA
1126,IGI
1127,GIA
1128,GIA
1129,GIA
1130,GIA
1131,GIA
1132,GIA
1133,GIA
1134,GIA
1135,GIA
1136,GIA
1137,GIA
1138,GIA
1139,GIA
1140,GIA
1141,GIA
1142,GIA
1143,GIA
1144,GIA
1145,GIA
1146,GIA
1147,IGI
1148,IGI
1149,GIA
1150,GIA
1151,GIA
1152,GIA
1153,GIA
1154,GIA
1155,GIA
1156,GIA
1157,GIA
1158,GIA
1159,GIA
1160,GIA
1161,IGI
1162,IGI
1163,IGI
1164,IGI
1165,IGI
1166,IGI
1167,IGI
1168,IGI
1169,IGI
1170,GIA
1171,IGI
1172,IGI
1173,IGI
1174,IGI
1175,GIA
1176,GIA
1177,GIA
1178,GIA
1179,GIA
1180,GIA
1181,GIA
1182,GIA
1183,GIA
1184,GIA
1185,GIA
1186,IGI
1187,IGI
1188,GIA
1189,GIA
1190,GIA
1191,GIA
1192,GIA
1193,GIA
1194,GIA
1195,GIA
1196,GIA
1197,HRD
1198,IGI
1199,IGI
1200,IGI
1201,GIA
1202,IGI
1203,GIA
1204,GIA
1205,GIA
1206,GIA
1207,GIA
1208,GIA
1209,GIA
1210,GIA
1211,IGI
1212,IGI
1213,IGI
1214,IGI
1215,IGI
1216,IGI
1217,GIA
1218,GIA
1219,GIA
1220,GIA
1221,GIA
1222,GIA
1223,GIA
1224,GIA
1225,GIA
1226,GIA
1227,GIA
1228,GIA
1229,GIA
1230,GIA
1231,GIA
1232,GIA
1233,GIA
1234,GIA
1235,GIA
1236,GIA
1237,GIA
1238,GIA
1239,IGI
1240,IGI
1241,GIA
1242,GIA
1243,GIA
1244,GIA
1245,GIA
1246,GIA
1247,GIA
1248,IGI
